Using cache found in /trinity/home/a.chertkov/.cache/torch/hub/pytorch_vision_v0.10.0
Using cache found in /trinity/home/a.chertkov/.cache/torch/hub/pytorch_vision_v0.10.0
No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
[2023-04-10 01-21-57] Computations (cuda)
===================== -------------------
Data                : "imagenet"
Model               : "alexnet"
Task                : "attack"
Kind of task        : "attr"
=========================================


.... Loading "imagenet" dataset


.... Loading "alexnet" model
DONE (    20.83 sec.) 


.... Loading "vgg19" model
DONE (     3.17 sec.) 

Image : [-2.1e+00,  2.5e+00] (avg: -6.5e-02)

.... Optimization with PROTES method:
protes > m 1.9e+04 | t 1.070e+02 | y -2.5062e-01
protes > m 1.9e+04 | t 1.075e+02 | y -2.4831e-01
protes > m 1.9e+04 | t 1.102e+02 | y -2.4736e-01
protes > m 1.9e+04 | t 1.105e+02 | y -2.4539e-01
protes > m 1.9e+04 | t 1.110e+02 | y -2.4514e-01
protes > m 1.9e+04 | t 1.118e+02 | y -2.4505e-01
protes > m 2.0e+04 | t 1.121e+02 | y -2.4499e-01
protes > m 2.0e+04 | t 1.126e+02 | y -2.4247e-01
protes > m 2.0e+04 | t 1.131e+02 | y -2.4101e-01
protes > m 2.0e+04 | t 1.153e+02 | y -2.3955e-01
protes > m 2.0e+04 | t 1.155e+02 | y -2.3917e-01
protes > m 2.0e+04 | t 1.166e+02 | y -2.3901e-01
protes > m 2.0e+04 | t 1.171e+02 | y -2.3875e-01
protes > m 2.1e+04 | t 1.177e+02 | y -2.3801e-01
protes > m 2.1e+04 | t 1.187e+02 | y -2.3586e-01
protes > m 2.1e+04 | t 1.206e+02 | y -2.3338e-01
protes > m 2.2e+04 | t 1.240e+02 | y -2.3138e-01
protes > m 2.2e+04 | t 1.278e+02 | y -2.3065e-01
protes > m 2.3e+04 | t 1.283e+02 | y -2.2961e-01
protes > m 2.3e+04 | t 1.294e+02 | y -2.2764e-01
protes > m 2.3e+04 | t 1.307e+02 | y -2.2733e-01
protes > m 2.4e+04 | t 1.334e+02 | y -2.2704e-01
protes > m 2.4e+04 | t 1.352e+02 | y -2.2687e-01
protes > m 2.4e+04 | t 1.360e+02 | y -2.2660e-01
protes > m 2.4e+04 | t 1.371e+02 | y -2.2573e-01
protes > m 2.5e+04 | t 1.403e+02 | y -2.2555e-01
protes > m 2.5e+04 | t 1.411e+02 | y -2.2493e-01
protes > m 2.6e+04 | t 1.440e+02 | y -2.2449e-01
protes > m 2.6e+04 | t 1.461e+02 | y -2.2423e-01
protes > m 2.6e+04 | t 1.485e+02 | y -2.2416e-01
protes > m 2.8e+04 | t 1.566e+02 | y -2.2414e-01
protes > m 2.9e+04 | t 1.606e+02 | y -2.2402e-01
protes > m 3.0e+04 | t 1.668e+02 | y -2.2356e-01
protes > m 5.9e+04 | t 3.279e+02 | y -2.2239e-01
protes > m 8.5e+04 | t 4.718e+02 | y -2.2202e-01
protes > m 1.0e+05 | t 5.514e+02 | y -2.2202e-01 <<< DONE
Result is : -2.2e-01
DONE (   551.40 sec.) 
Image : [-2.1e+00,  2.4e+00] (avg:  1.9e-01)

.... Optimization with PROTES method:
